id,name,pl_a,ql_a,pl_b,ql_b,pl_c,ql_c,bus_type,v_a,v_b,v_c,v_ln_base,s_base,v_min,v_max,cvr_p,cvr_q,phases,has_gen,has_load,has_cap,latitude,longitude
15,mid824,0.0,0.0,0.003137061914860739,-0.0004682825890754109,0.0019344748799178574,0.0024968959593122853,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,True,False,0.0,0.0
16,824,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,False,False,0.0,3200.0
17,mid820,0.03461005741967899,0.017304990309328465,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,a,False,True,False,0.0,0.0
18,820,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,a,False,False,False,800.0,2900.0
19,mid822,0.1350029074930524,0.0700013597898077,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,a,False,True,False,0.0,0.0
20,822,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,a,False,False,False,1100.0,2900.0
21,mid826,0.0,0.0,0.040608985614273896,0.020304593662635588,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,b,False,True,False,0.0,0.0
22,826,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,b,False,False,False,0.0,3500.0
23,mid828,0.0,0.0,0.0,0.0,0.004000044223163346,0.002000016693555313,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,True,False,0.0,0.0
24,828,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,False,False,-1200.0,3200.0
25,mid830,0.007000140377916032,0.003000045217772526,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,True,False,0.0,0.0
26,830,0.015918213366843573,0.011748068407023107,0.009968295431595442,0.0049366569767847835,0.018671234488171123,0.0031242323175055624,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,True,False,-1200.0,3700.0
27,854,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,False,False,-1200.0,4000.0
28,832,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,False,False,-400.0,4000.0
29,mid858,0.006979271115180142,0.002945560576464684,0.004277312674724134,0.003693401028721009,0.0048838378863373146,0.0008875393677216239,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,True,False,0.0,0.0
30,858,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,False,False,0.0,4000.0
31,mid834,0.007011184342529862,0.007173698625963041,0.011289345851558713,0.001762886526950656,0.013700213521919769,0.008063765846319598,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,True,False,0.0,0.0
32,834,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,False,False,0.0,4400.0
33,842,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,False,False,400.0,4400.0
34,836,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,False,False,0.0,5600.0
35,mid840,0.01196098108740655,-0.0006017044816840654,0.021384328173901016,0.009016095114855372,0.008004921370143076,0.012260637564703244,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,True,False,0.0,0.0
36,840,0.009276605782333594,0.007215076847795975,0.00930454676100311,0.0072368971713053344,0.009279760720385208,0.007217568939597715,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,True,False,0.0,6000.0
37,mid844,0.009000260628035201,0.005000096896547415,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,True,False,0.0,0.0
38,844,0.1435319897627648,0.11163505334033295,0.14440998341415762,0.11231930197691195,0.14359522045174453,0.11168481908890826,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,True,True,700.0,4400.0
39,mid846,0.0,0.0,0.02500058688562329,0.012000338381212713,0.020000384191797168,0.011000171564245466,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,True,False,0.0,0.0
40,846,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,False,False,1100.0,4400.0
41,mid848,0.0,0.0,0.023000541206801197,0.01100031103225827,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,True,False,0.0,0.0
42,848,0.019803413756418236,0.016205884767988853,0.02019301753956808,0.01583194133522345,0.02000502126973099,0.015963212774263796,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,True,True,1400.0,4400.0
43,mid856,0.0,0.0,0.004000063754120098,0.0020000412567534524,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,b,False,True,False,0.0,0.0
44,856,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,b,False,False,False,-1200.0,4400.0
45,852,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,False,False,-900.0,4000.0
46,852r,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,False,False,-600.0,4000.0
47,888,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0.0,0.0,abc,False,False,False,-400.0,4700.0
48,mid864,0.0020000566480512,0.001000018538977528,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,a,False,True,False,0.0,0.0
49,864,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,a,False,False,False,400.0,4000.0
50,mid860,0.05211020564965144,0.062479929951172575,0.019952273154320438,0.008320372312594429,0.08258395465165368,0.0065227835976391915,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,True,False,0.0,0.0
51,860,0.02000060042765767,0.01600034655588432,0.020000456798315778,0.016000425578623936,0.020000391828662253,0.016000263291022578,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,True,False,0.0,5000.0
52,mid836,0.03374917983382901,0.022329503472326366,0.017564582777006444,0.016056662320496042,0.030688202425751106,0.004614755731324086,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,True,False,0.0,0.0
53,862,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,False,False,-400.0,5600.0
54,mid838,0.0,0.0,0.028000658367631725,0.014000393873384509,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,b,False,True,False,0.0,0.0
55,838,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,b,False,False,False,-800.0,5600.0
56,890,0.1370478024239938,0.0701206206469463,0.1406068635843821,0.06846281374109883,0.13690221701587565,0.06869943900982396,PQ,1.0,1.0,1.0,2401.7771198288433,1000000.0,0.95,1.05,0.0,0.0,abc,False,True,False,-400.0,5000.0
